Service,Title,Language,Variant,Date,Size,Link
Files,JS8Call v2.2.0,English,Windows,2023-12,0.020 GB,http://files.js8call.com/2.2.0/js8call-2.2.0-win32.exe
Files,JS8Call v2.2.0,English,MacOS,2023-12,0.014 GB,http://files.js8call.com/2.2.0/js8call-2.2.0-Darwin.dmg
Files,JS8Call v2.2.0,English,Linux,2023-12,0.014 GB,http://files.js8call.com/2.2.0/js8call_2.2.0_i386.deb
Files,JS8Call v2.2.0,English,Rasp. Pi,2023-12,0.011 GB,http://files.js8call.com/2.2.0/js8call_2.2.0_armhf.deb
Files,WSJT-X v2.6.1,English,Windows,2023-12,0.026 GB,https://wsjt.sourceforge.io/downloads/wsjtx-2.6.1-win32.exe
Files,WSJT-X v2.6.1,English,MacOS,2023-12,0.026 GB,https://wsjt.sourceforge.io/downloads/wsjtx-2.6.1-Darwin.dmg
Files,WSJT-X v2.6.1,English,Linux,2023-12,0.017 GB,https://wsjt.sourceforge.io/downloads/wsjtx_2.6.1_amd64.deb
Files,WSJT-X v2.6.1,English,Rasp. Pi,2023-12,0.011 GB,https://wsjt.sourceforge.io/downloads/wsjtx_2.6.1_armhf.deb
Files,WSJT-X User Guide,English,Windows,2023-12,0.004 GB,https://wsjt.sourceforge.io/wsjtx-doc/wsjtx-main-2.6.1.pdf
Files,Firefox Portable,English,Windows,2023-12,0.119 GB,https://portableapps.com/apps/internet/firefox_portable
Files,Bible Portable,English,Windows,2023-12,0.030 GB,https://portableapps.com/apps/education/bpbible_portable
Files,VLC Portable,English,Windows,2023-12,0.040 GB,https://portableapps.com/apps/music_video/vlc_portable
Files,Notepad++ Portable,English,Windows,2023-12,0.007 GB,https://portableapps.com/apps/development/notepadpp_portable
Files,GIMP Portable,English,Windows,2023-12,0.207 GB,https://portableapps.com/apps/graphics_pictures/gimp_portable
Files,Audacity Portable,English,Windows,2023-12,0.023 GB,https://portableapps.com/apps/music_video/audacity_portable
Files,LibreOffice Portable,English,Windows,2023-12,0.192 GB,https://portableapps.com/apps/office/libreoffice_portable
Files,Eraser Portable,English,Windows,2023-12,0.001 GB,https://portableapps.com/apps/security/eraser-portable
Files,7-Zip Portable,English,Windows,2023-12,0.003 GB,https://portableapps.com/apps/utilities/7-zip_portable
Files,BalenaEtcher Portable,English,Windows,2023-12,0.128 GB,https://portableapps.com/apps/utilities/balenaetcher-portable
